Course_Title,Recommendation_1,Recommendation_2,Recommendation_3
CS50's Introduction to Computer Science,Computer Science 101,CS101: Introduction to Computer Science I,An Introduction to Logic for Computer Science
Introduction to Computer Science and Programming Using Python.,Introduction to Computer Science and Programming in Python,Computational Thinking using Python,CS For All: Introduction to Computer Science and Python Programming
Harvard CS50 – Full Computer Science University Course,Harvard CS50 (2023) – Full Computer Science University Course,Harvard CS50 (2023) – Full Computer Science University Course,Introduction to Programming and Computer Science - Full Course
Introduction to Electrical Engineering and Computer Science I,Computer Science 101,CS101: Introduction to Computer Science I,CS50's Introduction to Computer Science
CS50's Computer Science for Business Professionals,CS50's Introduction to Computer Science,CS50's Computer Science for Lawyers,CS50's Understanding Technology
Computer Science 101,Computer Science for Data Science,Concepts in Computer Science,Master of Computer Science
"Internet History, Technology, and Security",Usable Security,Hardware Security,Computer Science Principles: The Internet
Computational Social Science Methods,Computational Social Science Capstone Project,Sample-based Learning Methods,Introduction to Computational Science and Engineering
Functional Programming Principles in Scala,Functional Program Design in Scala,Computer Science Principles: Programming,Computer Science Principles: The Internet
CS50's Computer Science for Lawyers,CS50's Introduction to Computer Science,CS50's Computer Science for Business Professionals,CS50's Understanding Technology
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Computer Science Principles: Programming,Computer Science Principles: The Internet,Introduction to Programming and Computer Science - Full Course
Computer Simulations,Computational Thinking for Modeling and Simulation,Computer Science 101,Introduction to Computer Science and Programming
Computer Science for Python Programming,CS For All: Introduction to Computer Science and Python Programming,How to Program: Computer Science Concepts and Python Exercises,Introduction to Computer Science and Programming
Computer Science for Data Science,Computer Science 101,Concepts in Computer Science,Master of Computer Science
Computer Science for Artificial Intelligence,Artificial Intelligence,CS50's Introduction to Artificial Intelligence with Python,Introduction to Computer Science and Programming
Computer Science for Game Development,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
Computer Science for Web Programming,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
An Introduction to Logic for Computer Science,Computer Science 101,CS101: Introduction to Computer Science I,CS50's Introduction to Computer Science
Computational Social Science Capstone Project,Computational Social Science Methods,Introduction to Computational Science and Engineering,Spatial Computational Thinking
Computer Science: Programming with a Purpose,Introduction to Computer Science and Programming in Python,Introduction to Programming and Computer Science - Full Course,Introduction to Computer Science and Programming (Fall 2008)
Introduction to Logic,"Language, Proof and Logic",Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
Fundamentals of Computer Science,Computer Science 101,Fundamentals of Reinforcement Learning,Computer Science for Data Science
CS For All: Introduction to Computer Science and Python Programming,Computer Science for Python Programming,Introduction to Computer Science and Programming,Introduction to Computer Science and Programming
